region,category,parameter,mode,powertrain,year,unit,value
India,Historical,Oil displacement Mbd,Cars,EV,2010,Milion barrels per day,2.2000000171829e-05
India,Historical,Oil displacement Mbd,Cars,EV,2011,Milion barrels per day,4.50000006821938e-05
India,Historical,Oil displacement Mbd,Cars,EV,2012,Milion barrels per day,4.50000006821938e-05
India,Historical,Oil displacement Mbd,Cars,EV,2013,Milion barrels per day,4.99999987368938e-05
India,Historical,Oil displacement Mbd,Cars,EV,2014,Milion barrels per day,6.50000001769513e-05
India,Historical,Oil displacement Mbd,Buses,EV,2015,Milion barrels per day,2.2000000171829e-05
India,Historical,Oil displacement Mbd,Cars,EV,2015,Milion barrels per day,7.40000032237731e-05
India,Historical,Oil displacement Mbd,Buses,EV,2016,Milion barrels per day,2.40000008489005e-05
India,Historical,Oil displacement Mbd,Vans,EV,2016,Milion barrels per day,8.89999955688836e-06
India,Historical,Oil displacement Mbd,Cars,EV,2016,Milion barrels per day,8.3999999333173e-05
India,Historical,Oil displacement Mbd,Buses,EV,2017,Milion barrels per day,2.59999997069826e-05
India,Historical,Oil displacement Mbd,Vans,EV,2017,Milion barrels per day,7.10000022081658e-05
India,Historical,Oil displacement Mbd,Cars,EV,2017,Milion barrels per day,9.99999974737875e-05
India,Historical,Oil displacement Mbd,Buses,EV,2018,Milion barrels per day,6.70000008540228e-05
India,Historical,Oil displacement Mbd,Vans,EV,2018,Milion barrels per day,0.000140000003739
India,Historical,Oil displacement Mbd,Cars,EV,2018,Milion barrels per day,0.000110000000859
India,Historical,Oil displacement Mbd,Buses,EV,2019,Milion barrels per day,0.000150000007125
India,Historical,Oil displacement Mbd,Vans,EV,2019,Milion barrels per day,0.000159999995958
India,Historical,Oil displacement Mbd,Cars,EV,2019,Milion barrels per day,0.000119999996969
India,Projection-APS,Oil displacement Mbd,Buses,EV,2020,Milion barrels per day,0.000520000001416
India,Projection-APS,Oil displacement Mbd,Vans,EV,2020,Milion barrels per day,0.000169999999343
India,Projection-APS,Oil displacement Mbd,Cars,EV,2020,Milion barrels per day,0.000150000007125
India,Historical,Oil displacement Mbd,Buses,EV,2020,Milion barrels per day,0.000520000001416
India,Historical,Oil displacement Mbd,Vans,EV,2020,Milion barrels per day,0.000169999999343
India,Historical,Oil displacement Mbd,Cars,EV,2020,Milion barrels per day,0.000150000007125
India,Projection-STEPS,Oil displacement Mbd,Buses,EV,2020,Milion barrels per day,0.000520000001416
India,Projection-STEPS,Oil displacement Mbd,Vans,EV,2020,Milion barrels per day,0.000169999999343
India,Projection-STEPS,Oil displacement Mbd,Cars,EV,2020,Milion barrels per day,0.000150000007125
India,Historical,Oil displacement Mbd,Buses,EV,2021,Milion barrels per day,0.000709999992978
India,Historical,Oil displacement Mbd,Vans,EV,2021,Milion barrels per day,0.000239999993937
India,Historical,Oil displacement Mbd,Cars,EV,2021,Milion barrels per day,0.00034999998752
India,Projection-STEPS,Oil displacement Mbd,Buses,EV,2021,Milion barrels per day,0.000709999992978
India,Projection-STEPS,Oil displacement Mbd,Vans,EV,2021,Milion barrels per day,0.000239999993937
India,Projection-STEPS,Oil displacement Mbd,Cars,EV,2021,Milion barrels per day,0.00034999998752
India,Projection-APS,Oil displacement Mbd,Buses,EV,2021,Milion barrels per day,0.000709999992978
India,Projection-APS,Oil displacement Mbd,Vans,EV,2021,Milion barrels per day,0.000239999993937
India,Projection-APS,Oil displacement Mbd,Cars,EV,2021,Milion barrels per day,0.00034999998752
India,Projection-APS,Oil displacement Mbd,Buses,EV,2022,Milion barrels per day,0.00109999999404
India,Projection-APS,Oil displacement Mbd,Vans,EV,2022,Milion barrels per day,0.000260000000708
India,Projection-APS,Oil displacement Mbd,Cars,EV,2022,Milion barrels per day,0.001300000003539
India,Historical,Oil displacement Mbd,Buses,EV,2022,Milion barrels per day,0.00109999999404
India,Historical,Oil displacement Mbd,Vans,EV,2022,Milion barrels per day,0.000260000000708
India,Historical,Oil displacement Mbd,Cars,EV,2022,Milion barrels per day,0.001300000003539
India,Projection-STEPS,Oil displacement Mbd,Buses,EV,2022,Milion barrels per day,0.00109999999404
India,Projection-STEPS,Oil displacement Mbd,Vans,EV,2022,Milion barrels per day,0.000260000000708
India,Projection-STEPS,Oil displacement Mbd,Cars,EV,2022,Milion barrels per day,0.001300000003539
India,Historical,Oil displacement Mbd,Buses,EV,2023,Milion barrels per day,0.003299999982119
India,Historical,Oil displacement Mbd,Vans,EV,2023,Milion barrels per day,0.000230000005104
India,Historical,Oil displacement Mbd,Cars,EV,2023,Milion barrels per day,0.002600000007078
India,Projection-STEPS,Oil displacement Mbd,Buses,EV,2023,Milion barrels per day,0.003299999982119
India,Projection-STEPS,Oil displacement Mbd,Vans,EV,2023,Milion barrels per day,0.000230000005104
India,Projection-STEPS,Oil displacement Mbd,Cars,EV,2023,Milion barrels per day,0.002600000007078
India,Projection-APS,Oil displacement Mbd,Buses,EV,2023,Milion barrels per day,0.003299999982119
India,Projection-APS,Oil displacement Mbd,Vans,EV,2023,Milion barrels per day,0.000250000011874
India,Projection-APS,Oil displacement Mbd,Cars,EV,2023,Milion barrels per day,0.002600000007078
India,Projection-APS,Oil displacement Mbd,Buses,EV,2025,Milion barrels per day,0.008100000210106
India,Projection-APS,Oil displacement Mbd,Trucks,EV,2025,Milion barrels per day,0.000569999974687
India,Projection-APS,Oil displacement Mbd,Vans,EV,2025,Milion barrels per day,0.000959999975748
India,Projection-APS,Oil displacement Mbd,Cars,EV,2025,Milion barrels per day,0.010999999940395
India,Projection-STEPS,Oil displacement Mbd,Buses,EV,2025,Milion barrels per day,0.007300000172108
India,Projection-STEPS,Oil displacement Mbd,Trucks,EV,2025,Milion barrels per day,0.000339999998687
India,Projection-STEPS,Oil displacement Mbd,Vans,EV,2025,Milion barrels per day,0.000809999997728
India,Projection-STEPS,Oil displacement Mbd,Cars,EV,2025,Milion barrels per day,0.009999999776483
India,Projection-STEPS,Oil displacement Mbd,Buses,EV,2030,Milion barrels per day,0.037999998778105
India,Projection-STEPS,Oil displacement Mbd,Trucks,EV,2030,Milion barrels per day,0.004499999806285
India,Projection-STEPS,Oil displacement Mbd,Vans,EV,2030,Milion barrels per day,0.006599999964237
India,Projection-STEPS,Oil displacement Mbd,Cars,EV,2030,Milion barrels per day,0.064999997615814
India,Projection-APS,Oil displacement Mbd,Buses,EV,2030,Milion barrels per day,0.037999998778105
India,Projection-APS,Oil displacement Mbd,Trucks,EV,2030,Milion barrels per day,0.005700000096112
India,Projection-APS,Oil displacement Mbd,Vans,EV,2030,Milion barrels per day,0.014000000432134
India,Projection-APS,Oil displacement Mbd,Cars,EV,2030,Milion barrels per day,0.100000001490116
India,Projection-APS,Oil displacement Mbd,Buses,EV,2035,Milion barrels per day,0.098999999463558
India,Projection-APS,Oil displacement Mbd,Trucks,EV,2035,Milion barrels per day,0.019999999552965
India,Projection-APS,Oil displacement Mbd,Vans,EV,2035,Milion barrels per day,0.070000000298023
India,Projection-APS,Oil displacement Mbd,Cars,EV,2035,Milion barrels per day,0.300000011920929
India,Projection-STEPS,Oil displacement Mbd,Buses,EV,2035,Milion barrels per day,0.097000002861023
India,Projection-STEPS,Oil displacement Mbd,Trucks,EV,2035,Milion barrels per day,0.014000000432134
India,Projection-STEPS,Oil displacement Mbd,Vans,EV,2035,Milion barrels per day,0.021999999880791
India,Projection-STEPS,Oil displacement Mbd,Cars,EV,2035,Milion barrels per day,0.159999996423721
